cas_number,ingredient_name,synonyms,category_4_limit_percent,reason,rule_year,source_pdf,smiles
78-70-6;126-90-9;126-91-0,Linalool,"78-70-6 (Linalool): 1,6-Octadien-3-ol, 3,7-dimethyl- 2,6-Dimethyl-2,7-octadien-6-ol 2,7-Octadien-6-ol, 2,6-dimethyl- 3,7-Dimethyl-1,6-octadien-3-ol 3,7-Dimethylocta-1,6-dien-3-ol Coriandrol Licareol Linalyl alcohol 126-90-9 (d-Linalool): (S)-3,7-Dimethyl-1,6-octadien-3-ol 1,6-Octadien-3-ol, 3,7-dimethyl-, (S)- 126-91-0 (l-Linalool): (R)-3,7-Dimethyl-1,6-octadien-3-ol 1,6-Octadien-3-ol, 3,7-dimethyl-, (R)-",,Skin Sensitization,2004.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Specification/Linalool.pdf,CC(C)=CCCC(C)(O)C=C
138-86-3;7705-14-8;5989-27-5;5989-54-8,Limonene,"p-Mentha-1,8-diene 1-methyl-4-prop-1-en-2-ylcyclohexene 1-Methyl-4-(1-methylethenyl)cyclohexene 1-Methyl-4-isopropenyl-1-cyclohexene 4-Isopropenyl-1-methylcyclohexene Cyclohexene, 1-methyl-4-(1-methylethenyl)- Dipentene",,Skin Sensitization,1995.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Specification/Limonene.pdf,CC(=C)C1CCC(=CC1)C
81-14-1;81-15-2,Musk ketone,"1-(4-tert-Butyl-2,6-dimethyl-3,5-dinitrophenyl) ethanone 4'-tert-butyl-2',6'-dimethyl-3',5'-dinitroacetophenone 3,5-Dinitro-2,6-dimethyl-4-tert-butylacetophenone 1-[4-(1,1-Dimethylethyl)-2,6-dimethyl-3,5-dinitrophenyl]ethanone Ethanone, 1-[4-(1,1-dimethylethyl)-2,6-dimethyl-3,5-dinitrophenyl]-",,,2010.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Specification/Musk ketone.pdf,CC(=O)c1c(C)c(c(c(c1C)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O
5471-51-2,4-(4-Hydroxyphenyl)butan-2-one,"p-Hydroxybenzylacetone 1-p-Hydroxyphenyl-3-butanone 2-Butanone, 4-(4-hydroxyphenyl)- 4-(p-Hydroxyphenyl)-2-butanone Raspberry ketone Corps N 112 (commercial name) Frambinon (commercial name) Oxanone (commercial name) Oxyphenylon (commercial name)",1.0,Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (systemic toxicity)/4-(4-Hydroxyphenyl)butan-2-one.pdf,CC(=O)CCc1ccc(O)cc1
98-01-1,Furfural,2-Formylfuran Fural Furaldehyde 2-Furaldehyde 2-Furancarbonal 2-Furancarboxaldehyde Furfuraldehyde α-Furfuraldehyde 2-Furylcarboxaldehyde Pyromucic aldehyde,0.001,Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (systemic toxicity)/Furfural.pdf,O=Cc1occc1
546-80-5;471-15-8;76231-76-0;1125-12-8;68991-20-8;91745-71-0;92113-09-2;84775-75-7;8007-20-3;91770-83-0;91770-83-1;8006-83-5;8002-68-4;90063-99-3;8016-36-2;89957-98-2;8022-56-8;84082-79-1;8016-68-0;8008-80-8;8016-84-0;8016-87-3;8007-46-3;8008-93-3;8022-07-9,Thujone,"1-Isopropyl-4-methylbicyclo[3.1.0]hexan-3-one 3-Thujanone, (1s,4r,5r)-(-)- α-Thujone β-Thujone",1.4,Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (systemic toxicity)/Thujone.pdf,CC(C)[C@@]12C[C@@H]1[C@@H](C)C(=O)C2
108-88-3,Toluene,Toluol Methylbenzol Methylbenzene,,,2004.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Prohibition-Specification/Toluene.pdf,Cc1ccccc1
71-43-2,Benzene,Benzol,,,2004.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Prohibition-Specification/Benzene.pdf,c1ccccc1
8013-10-3;90046-02-9,Cade oil,Prohibition of the crude material: Juniper tar Specification for the distillates: Juniper tar oil Juniperus oxycedrus oil,,,2013.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Prohibition-Specification/Cade oil.pdf,
8024-00-8;90046-04-1;68916-94-9;90046-03-0,Savin oil,Prohibition of Savin oil: Juniperus sabina L. Specification of Savin oil: Juniperus phoenicea L.,,,1982.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Prohibition-Specification/Savin oil.pdf,
