cas_number,ingredient_name,synonyms,category_4_limit_percent,reason,rule_year,source_pdf,smiles
97-53-0;8006-77-7;68991-20-8;92113-09-2;8007-00-9;8015-73-4;68916-05-2;8006-78-8;8015-79-0;68606-83-7;8021-43-0;8007-06-5;8007-80-5;8023-82-3;8015-91-6;8016-26-0;8000-29-1;8000-34-8;68916-09-6;90131-21-8;8023-94-7;8022-96-6;8024-43-9;8007-48-5;8007-02-1;8007-12-3;8008-45-5;8007-11-2;68917-05-5;90106-38-0;8007-01-0;8016-69-1;8016-88-4;8007-46-3;8024-03-1;8024-05-3;8024-37-1,Eugenol,"4-Allylcatechol-2-methyl ether 1-Allyl-4-hydroxy-3-methoxybenzene 4-Allyl-2-methoxyphenol Caryophyllic acid 2-Hydroxy-5-allylanisole 1-Hydroxy-2-methoxy-4-allylbenzene 4-Hydroxy-3-methoxy-1-allylbenzene 1-Hydroxy-2-methoxy-4-propenylbenzene 2-Methoxy-4-allylphenol 2-Methoxy-4-(2-propenyl)phenol Phenol, 2-methoxy-4-(2-propenyl)- Eugenic acid Allylguaiacol 4-Allylguaiacol",2.5,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Eugenol.pdf,COc1cc(CC=C)ccc1O
31906-04-4;51414-25-6;67634-12-2,3 and 4-(4-Hydroxy-4-methylpentyl)-3-cyclohexene-1-carboxaldehyde (HMPCC),"3-Cyclohexen-1-carboxaldehyde, 4-(4-hydroxy-4-methylpentyl)- 3-Cyclohexen-1-carboxaldehyde, 3-(4-hydroxy-4-methylpentyl)- Hydroxyisohexyl 3-cyclohexene carboxaldehyde 4-(4-Hydroxy-4-methylpenyl) cyclohex-3-enecarbaldehyde 3-(4-Hydroxy-4-methylpentyl) cyclohex-3-ene-1-carbaldehyde HICC Lyral (commercial name) Kovanol (commercial name) Mugonal (commercial name) Landolal (commercial name) Cyclohexal (commercial name)",0.2,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/3 and 4-(4-Hydroxy-4-methylpentyl)-3-cyclohexene-1-carboxaldehyde (HMPCC).pdf,CC(C)(O)CCCC1=CCC(CC1)C=O
762-26-5,"5,9-Dimethyl-4,8-decadienal","4,8-Decadienal, 5,9-dimethyl- 5,9-Dimethyldeca-4,8-dienal Geraldehyde (Commercial name) Geranyl Acetaldehyde (Commercial name)",3.0,Skin Sensitization; Systemic Toxicity,2020.0,"/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/5,9-Dimethyl-4,8-decadienal.pdf",CC(C)=CCC\C(C)=C/CCC=O
56973-85-4,"1-(5,5-Dimethyl-1-cyclohexen-1-yl)pent-4-en-1-one","α-Dynascone 4-Penten-1-one, 1-(5,5-dimethyl-1-cyclohexen-1-yl)- Dynascone (commercial name) Galbanone (commercial name) Galbascone (commercial name) Neobutenone (commercial name) Neogal (commercial name) Neogalbenum (commercial name)",1.1,Skin Sensitization; Systemic Toxicity,2020.0,"/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/1-(5,5-Dimethyl-1-cyclohexen-1-yl)pent-4-en-1-one.pdf",CC1(C)CCC=C(C1)C(=O)CCC=C
5392-40-5;141-27-5;106-26-3;8014-71-9;68917-80-6;8007-75-8;68648-33-9;8000-66-6;8023-82-3;68991-25-3;8000-29-1;233683-84-6;799259-56-6;92201-64-4;8000-46-2;68916-44-9;8007-08-7;8016-20-4;68916-46-1;938464-05-2;84929-31-7;8008-56-8;68648-39-5;68916-89-2;68917-33-9;72869-82-0;8007-02-1;8008-26-2;68917-71-5;68916-83-6;68916-84-7;93685-55-3;68855-99-2;68917-20-4;8016-33-9;1370641-98-7;93686-22-7;68514-75-0;8016-38-4;68916-04-1;8008-57-9;68916-02-9;68606-94-0,Citral,"3,7-Dimethyl-2,6-octadienal Geranial (trans-citral) Neral Geranial Lemarome (commercial name)",0.6,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Citral.pdf,CC(C)=CCC\C(C)=C\C=O
103694-68-4,"2,2-Dimethyl-3-(3-tolyl)propan-1-ol","Benzenepropanol,.ß.,. ß.,3-trimethyl 2,2-Dimethyl-3-(3-methylphenyl)propanol Benzene propanol Majantol (commercial name) Linlan alcohol (commercial name) Muguetol B (commercial name)",1.7,Skin Sensitization; Systemic Toxicity,2020.0,"/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/2,2-Dimethyl-3-(3-tolyl)propan-1-ol.pdf",Cc1cccc(CC(C)(C)CO)c1
123-11-5;8007-70-3;8015-73-4;8023-82-3;84625-39-8;8006-84-6;68916-48-3;8031-03-6;68952-43-2;8024-06-4;953789-39-4,p-Methoxybenzaldehyde,"Anisaldehyde p-Anisaldehyde Anisic aldehyde Benzaldehyde, 4-methoxy 4-Methoxybenzaldehyde Aubepine P Cresol (commercial name) Aubepine liquid (commercial name)",0.21,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/p-Methoxybenzaldehyde.pdf,COc1ccc(C=O)cc1
100-51-6;8007-00-9;8021-43-0;8023-82-3;8015-91-6;68916-09-6;683748-01-8;8023-94-7;8022-96-6;8024-43-9;103798-23-6;8031-03-6;68917-12-4;90106-38-0;8007-01-0;8046-19-3;8024-03-1;8024-05-3;8024-08-6;8006-81-3;68952-44-3,Benzyl alcohol,Benzenemethanol Benzylic alcohol α-Hydroxytoluene Phenylcarbinol Phenyl carbinol Phenylmethanol Phenylmethyl alcohol α-Toluenol,2.5,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Benzyl alcohol.pdf,OCc1ccccc1
105-13-5;1331-81-3;8023-82-3;8024-06-4;953789-39-4;8047-24-3,Anisyl alcohol,"Anisalcohol Anise alcohol Anisic alcohol Benzyl alcohol, p-methoxy p-Methoxybenzyl alcohol",0.21,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Anisyl alcohol.pdf,COc1ccc(CO)cc1
140-67-0;1407-27-8;77525-18-9;8007-70-3;8015-73-4;68916-05-2;8006-78-8;84625-39-8;8006-84-6;8006-83-5;8008-46-6;91770-56-8;68952-43-2;8016-88-4,Estragole,"p-Allylanisole 1-Allyl-4-methoxybenzene Benzene, 1-methoxy-4-(2-propenyl)- Chavicyl methyl ether Isoanethole p-Methoxyallylbenzene 1-Methoxy-4-(2-propen-1-yl)benzene Methyl chavicol",0.42,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Estragole.pdf,COc1ccc(CC=C)cc1
80-54-6;91-51-0,p-tert-Butyl-α-methylhydrocinnamic aldehyde (p-BMHCA),"Benzenepropanal, 4-(1,1-dimethylethyl)-alpha-methyl- p-t-Bucinal 2-(4-tert-Butylbenzyl)propionaldehyde p-t-Butyl-alpha-methylhydrocinnamaldehyde Butylphenyl methylpropional alpha-Methyl-ß-(p-t-butylphenyl)propionaldehyde Lilestralis (commercial name) Lilial (commercial name) Lysmeral (commercial name)",1.4,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/p-tert-Butyl-α-methylhydrocinnamic aldehyde (p-BMHCA).pdf,CC(Cc1ccc(cc1)C(C)(C)C)C=O
103-50-4,Dibenzyl ether,"Phenylmethoxymethylbenzene Benzene, 1,1'-[oxybis(methylene)]bis- Benzyl ether Benzyl oxide Dibenzyl oxide 1,1'-[Oxybis(methylene)]dibenzene",0.012,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Dibenzyl ether.pdf,C(OCc1ccccc1)c2ccccc2
515-69-5;23089-26-1;23178-88-3;78148-59-1;76738-75-5;72691-24-8;8015-64-3;8057-65-6;68991-21-9;8015-73-4;68188-03-4;8015-88-1;1159574-01-2;68603-22-5;68990-83-0;8000-27-9;8002-66-2;8021-29-2;8022-15-9;93685-88-2;8008-56-8;8008-26-2;68991-39-9;921202-04-2;8006-87-9;91845-48-6;949495-68-5;8024-37-1;8022-07-9;68991-32-2,α-Bisabolol,"(R*,R*)-.α.,4-Dimethyl-.α.-(4-methyl-3-pentenyl)cyclohex-3-ene-1-methanol 3-Cyclohexene-1-methanol, .α.,4-dimethyl-.α.-(4-methyl-3-pentenyl)-, (R*,R*)- 6-Methyl-2-(4-methyl-3-cyclohexen-1-yl)-5-hepten-2-ol 3-Cyclohexene-1-methanol, α,4-dimethyl-α-(4-methyl-3-penten-1- yl)- 3-Cyclohexene-1-methanol, α,4-dimethyl-α-(4-methyl-3-penten-1- yl)-, (αS,1S)- 3-Cyclohexene-1-methanol, α,4-dimethyl-α-(4-methyl-3-penten-1- yl)-, (αR,1R)- 3-Cyclohexene-1-methanol, α,4-dimethyl-α-(4-methyl-3-penten-1- yl)-, (αR,1S)- 3-Cyclohexene-1-methanol, α,4-dimethyl-α-(4-methyl-3-penten-1- yl)-, (αS,1R)- alpha-Bisabolol Bisabolol Bisabolol nat. roh (Candela-Öl) (Commercial name) Dragosantol (Commercial name)",2.4,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/α-Bisabolol.pdf,CC(C)=CCC[C@](C)(O)[C@@H]1CCC(=CC1)C
97-54-1;5932-68-3;8007-00-9;8007-80-5;8015-91-6;8024-43-9;8007-02-1;8008-45-5;8024-03-1;8024-05-3;8006-81-3;68952-44-3,Isoeugenol,"1-Hydroxy-2-methoxy-4-propen-1-ylbenzene 4-Hydroxy-3-methoxy-1-propen-1-ylbenzene 4-Hydroxy-3-methoxy-1-propenylbenzene iso-Eugenol 3-Methoxy-4-hydroxy-1-propen-1-ylbenzene 2-Methoxy-4-propenylphenol 2-Methoxy-4-(1-propenyl)phenol Phenol, 2-methoxy-4-(1-propenyl)- 4-Propenylguaiacol",0.11,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Isoeugenol.pdf,COc1cc(\C=C\C)ccc1O
106-02-5;8015-64-3;8023-91-4,Cyclopentadecanolide,"Angelica lactone Cyclopentadecanolide 15-Hydroxypentadecanoic acid, ω-lactone Oxacyclohexadecan-2-one Pentadecalactone ω-Pentadecalactone Pentadecanolide Cyclopentadecanolid Supra (commercial name) Exaltex (commercial name) Exaltolide (commercial name) Macrolide (commercial name) Muskalactone (commercial name) Pentalide (commercial name) Thibetolide (commercial name)",2.4,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Cyclopentadecanolide.pdf,O=C1CCCCCCCCCCCCCCO1
3658-77-3,"4-Hydroxy-2,5-dimethyl-3(2H)-furanone","3(2H)-Furanone, 4-hydroxy-2,5-dimethyl- 2,5-Dimethyl-4-hydroxy-2,3-dihydrofuran-3-one 4-Hydroxy-2,5-dimethylfuran-3(2H)-one Dimethylhydroxy furanone Strawberry furanone Furaneol (Commercial name) Neofuraneol (Commercial name) Pineapple compound (Commercial name)",0.25,Skin Sensitization; Systemic Toxicity,2020.0,"/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/4-Hydroxy-2,5-dimethyl-3(2H)-furanone.pdf",CC1OC(=C(O)C1=O)C
19317-11-4;8015-62-1;8000-29-1;90106-38-0;8007-01-0;8007-08-7;8016-38-4;8006-81-3,Farnesal,"2,6,10-Dodecatrienal, 3,7,11-trimethyl- 3,7,11-Trimethyl dodecatrien-2,6,10-al-1 3,7,11-Trimethyl-2,6,10-dodecatrienal 3,7,11-Trimethyldodeca-2,6,10-trienal",0.6,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Farnesal.pdf,CC(C)=CCC\C(C)=C\CC\C(C)=C\C=O
71077-31-1,"4,8-Dimethyl-4,9-decadienal","4,9-Decadienal, 4,8-dimethyl- Aldehyde DMD (Commercial name) Floral Super (Commercial name)",0.24,Skin Sensitization; Systemic Toxicity,2020.0,"/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/4,8-Dimethyl-4,9-decadienal.pdf",CC(CC/C=C(C)/CCC=O)C=C
6658-48-6,p-Isobutyl-α-methyl hydrocinnamaldehyde,"p-Isobutyl-α-methyl hydro cinnamic aldehyde Benzenepropanal, α-methyl-4-(2-methylpropyl)- 3-(4-Isobutyl-phenyl)-2-methyl-propionaldehyde 2-Methyl-3-[4-(2-methylpropyl)phenyl]propanal 3-(p-Cumenyl)-2-methylpropionaldehyde Cyclamen homoaldehyde Rhodial (commercial name) Silvial (commercial name) Suzaral (commercial name)",0.99,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/p-Isobutyl-α-methyl hydrocinnamaldehyde.pdf,CC(C)Cc1ccc(CC(C)C=O)cc1
55722-59-3;1754-00-3;72203-98-6;72203-97-5;8014-71-9;8007-02-1;68855-99-2;8048-51-9,"3,7-Dimethyl-3,6-octadienal","3,6-Octadienal, 3,7-dimethyl- 3,7-Dimethylocta-3,6-dienal (E)-3,7-Dimethyl-3,6-octadienal (Z)-3,7-Dimethyl-3,6-octadienal Isocitral (Commercial name) Isogeranial (Commercial name) Isoneral (Commercial name)",3.0,Skin Sensitization; Systemic Toxicity,2020.0,"/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/3,7-Dimethyl-3,6-octadienal.pdf",CC(C)=CC/C=C(C)/CC=O
91-64-5;8007-00-9;8007-80-5;8015-91-6;97659-68-2;68606-82-6;68916-09-6;8031-00-3;8022-15-9;93685-88-2;8023-73-2;68917-12-4;68917-05-5;8024-04-2,Coumarin,"2H-1-Benzopyran-2-one 1,2-Benzopyrone cis-o-Coumaric acid lactone Coumarinic anhydride 2-Oxo-1,2-benzopyran 2H-chromen-2-one Tonka bean camphor",1.5,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Coumarin.pdf,O=C1Oc2ccccc2C=C1
106-23-0;5949-05-3;8014-71-9;68991-25-3;8000-29-1;91771-50-5;93686-22-7;85203-56-1;8024-15-5;8000-46-2;8007-08-7;8016-20-4;68916-46-1;938464-05-2;84929-31-7;8008-56-8;68648-39-6;68916-89-2;8007-02-1;68916-83-6;8008-26-2;93685-55-3;68855-99-2;68917-20-4;1370641-98-7;68606-94-0;8008-57-9;8014-17-3;8048-51-9;84929-38-4;8007-01-0;72869-73-9;8016-85-1;68607-01-2,Citronellal,"106-23-0: 2,3-Dihydrocitral 3,7-Dimethyl-6-octenal 3,7-Dimethyloct-6-enal 6-Octenal, 3,7-dimethyl- Citronellal Extra (Commercial name) Rhodinal (Commercial name) 5949-05-3: 6-Octenal, 3,7-dimethyl-, (3S)- I-Citronellal",0.49,Skin Sensitization,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Citronellal.pdf,C[C@H](CCC=C(C)C)CC=O
103-95-7,Cyclamen aldehyde,"Benzenepropanal, α-methyl-4-(1-methylethyl)- Benzenepropanol, .α.-methyl-4-(1-methylethyl)- 3-p-Cumenyl-2-methylpropionaldehyde p-Isopropyl-α-methylhydrocinnamaldehyde 3-(4-Isopropylphenyl)-2-methylpropanal 2-Methyl-3-(p-isopropylphenyl)propionaldehyde α-Methyl-p-isopropylphenylpropylaldehyde α-Methyl-4-(1-methylethyl)benzenepropanal Cyclamal (commercial name) Cyclaviol (commercial name) Cyclosal (commercial name)",0.95,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Cyclamen aldehyde.pdf,CC(C)c1ccc(cc1)C(C)CC=O
6728-26-3,trans-2-Hexenal,"2-Hexenal, (E)- Hexen-2-al Leaf aldehyde beta-Propyl acrolein",0.01,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/trans-2-Hexenal.pdf,CCC/C=C/C=O
8007-00-9,Peru balsam,"Prohibition of Peru balsam crude: Exudation of Myroxylon pereirae Klotsch Restriction of Peru balsam extracts and distillates: Balsam oil, Peru (Myroxylon pereirae Klotzsch) Myroxylon pereirae (Balsam Peru) oil Myroxylon pereirae (Balsam Peru) resin Myroxylon pereirae oil Peru balsam absolute Peru balsam anhydrol",0.41,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Peru balsam.pdf,
104-55-2;8007-80-5;8015-91-6;97659-68-2;8023-94-7;8046-19-3;8024-03-1;94386-48-8,Cinnamic aldehyde,Cinnamal Cinnamaldehyde Phenylacrolein 3-Phenyl-2-propena 3-Phenyl-2-propen-1-a Cassia aldehyde,0.25,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Cinnamic aldehyde.pdf,O=C/C=C/c1ccccc1
6259-76-3,Hexyl salicylate,"Hexyl 2-hydroxybenzoate Benzoic acid, 2-hydroxy-, hexyl ester Hexyl o-hydroxybenzoate",6.5,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Hexyl salicylate.pdf,CCCCCCOC(=O)c1ccccc1O
94-86-0;63477-41-8,Propenylguaethol,"1-Ethoxy-2-hydroxy-4-propenylbenzene 2-Ethoxy-5-prop-1-en-1-ylphenol 2-Ethoxy-5-propenylphenol 3-Propenyl-6-ethoxyphenol 6-Ethoxy-m-anol Phenol, 2-ethoxy-5-(1-propenyl)- Vanitrope (commercial name) Isosafroeugenol (commercial name)",0.99,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Propenylguaethol.pdf,CCOc1ccc(\C=C\C)cc1O
99-49-0;2244-16-8;6485-40-1;8015-73-4;92346-82-2;8000-42-8;8015-88-1;8015-90-5;8016-26-0;8006-75-5;8023-92-5;8015-01-8;68917-18-0;90063-99-3;8008-46-6;90064-32-7;89957-98-2;68606-94-0;8008-57-9;8007-11-2;8000-68-8;8006-90-4;68606-97-3;8008-79-5;91770-24-0;68917-46-4;8022-07-9,Carvone,"99-49-0 (Carvone): p-Mentha-6,8-dien-2-one; 1-Methyl-4-isopropenyl-6-cyclohexen-2-one; 2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-; 5-Isopropenyl-2-methylcyclohex-2-en-1-one; 6,8(9)-p-Menthadien-2-one. 2244-16-8 (d-Carvone): (S)-2-Methyl-5-(1-methylvinyl)cyclohex-2-en-1-one; d-p-Mentha-6,8(9)-dien-2-one; d-1-Methyl-4-isopropenyl-6-cyclohexen-2-one; 2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-, (S)-. 6485-40-1 (l-Carvone): l-p-Mentha-1(6),8-dien-2-one; l-p-Mentha-6,8(9)-dien-2-one; l-1-Methyl-4-isopropenyl-6-cyclohexen-2-one; 2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-, (R)-; 5-Isopropenyl-2-methylcyclohex-2-en-1-one.",0.59,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Carvone.pdf,CC(=C)C1CC=C(C)C(=O)C1
54464-57-2;54464-59-4;68155-66-8;68155-67-9,"1-(1,2,3,4,5,6,7,8 Octahydro-2,3,8,8-tetramethyl-2-naphthalenyl) ethanone (OTNE)","54464-57-2: 1-(1,2,3,4,5,6,7,8-Octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)ethanone 1',2',3',4',5',6',7',8'-Octahydro-2',3',8',8'-tetramethyl-2'-acetonaphthone 1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one 1-(2,3,8,8-tetramethyl-1,2,3,4,5,6,7,8-octahydronaphthalen-2-yl)ethanone 2-acetoxy-2,3,8,8-tetramethyloctahydronaphthalene 7-Acetyl-1,2,3,4,5,6,7,8-octahydro-1,1,6,7-tetramethylnaphthalene Ethanone, 1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)- Naphthalene, 1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-aceto Ambergris Ketone (commercial name) Amberonne (commercial name) Ambralux (commercial name) Boisvelone (commercial name) Iso Ambois Super (commercial name) Iso-E Super (commercial name) Iso Gamma Super (commercial name) Isocyclemone E (commercial name) Orbitone (commercial name) Orbitone T (commercial name) 54464-59-4: 1- (1,2,3,4,5,6,7,8- octahydro-2,3,5,5- tetramethyl-2- naphthalenyl)ethan-1-one 1-(2,3,5,5-tetramethyl-1,2,3,4,5,6,7,8-octahydronaphthalen-2-yl)ethanone Ethanone, 1- (1,2,3,4,5,6,7,8- octahydro-2,3,5,5- tetramethyl-2- naphthalenyl)- Naphthalene, 1,2,3,4,5,6,7,8-octahydro-2,3,5,5-tetramethyl-2-aceto 68155-66-8: 1-(1,2,3,5,6,7,8,8a-Octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one 1-(2,3,8,8-Tetramethyl-1,2,3,5,6,7,8,8a-octahydronaphthalen-2-yl)ethanone Ethanone, 1-(1,2,3,5,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)- Decalene, 2-Aceto-2,3,8,8-Tetramethyl(1,2,3,5,6,7,8,8A-Octahydro)- 68155-67-9: 1-(1,2,3,4,6,7,8,8a-Octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one 1-(2,3,8,8-Tetramethyl-1,2,3,4,6,7,8,8a-octahydronaphthalen-2-yl)ethanone Ethanone, 1-(1,2,3,4,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)- Decalene, 2-Aceto-2,3,8,8-Tetramethyl(1,2,3,4,6,7,8,8A-Octahydro)- 2020 (Amendment 49) 1/4 IFRA Amendment 49 IFRA STANDARD STANDARD 1-(1,2,3,4,5,6,7,8 Octahydro-2,3,8,8-tetramethyl-2-naphthalenyl) ethanone (OTNE)",20.0,Skin Sensitization; Systemic Toxicity,2020.0,"/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/1-(1,2,3,4,5,6,7,8 Octahydro-2,3,8,8-tetramethyl-2-naphthalenyl) ethanone (OTNE).pdf",CC1CC2=C(CC1(C)C(C)=O)C(C)(C)CCC2
33704-61-9,"6,7-Dihydro-1,1,2,3,3-pentamethyl-4(5H)-indanone (DPMI)","1,2,3,5,6,7-Hexahydro-1,1,2,3,3-pentamethyl-4H-inden-4-one 4H-Inden-4-one, 1,2,3,5,6,7-hexahydro-1,1,2,3,3-pentamethyl- 1,1,2,3,3-Pentamethyl-1,2,3,5,6,7-hexahydro-4H-inden-4-one Cashmeran (commercial name)",3.8,Skin Sensitization; Systemic Toxicity,2020.0,"/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/6,7-Dihydro-1,1,2,3,3-pentamethyl-4(5H)-indanone (DPMI).pdf",CC1C(C)(C)C2=C(C(=O)CCC2)C1(C)C
100-52-7;8013-76-1;8007-00-9;8008-98-8;8007-80-5;8023-82-3;84604-07-9;8015-91-6;97659-68-2;8016-26-0;8016-03-3;8023-94-7;68917-77-1;8014-68-4;90106-38-0;8046-19-3;8024-03-1;39129-16-3,Benzaldehyde,"Benzenecarbonal Benzene carboxaldehyde Benzenecarboxaldehyde Benzenemethylal Benzoic aldehyde Bitter almond oil, synthetic Phenylformaldehyde Phenylmethanol aldehyde",0.25,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Benzaldehyde.pdf,O=Cc1ccccc1
7492-44-6,α-Butylcinnamaldehyde,"2-Benzylidenehexanal Butyl cinnamic aldehyde α-Butyl-β-phenylacrolein Hexanal, 2-(phenylmethylene)- alpha-butylcinnamaldehyde",0.43,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/α-Butylcinnamaldehyde.pdf,CCCC\C(C=O)=C/c1ccccc1
589-18-4,p-Tolyl alcohol,"(4-Methylphenyl)methanol Benzenemethanol, 4-methyl- p-Methylbenzyl alcohol p-Tolualcohol 4-(Hydroxymethyl)toluene 4-Methylbenzyl alcohol 4-Tolylcarbinol",1.5,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/p-Tolyl alcohol.pdf,Cc1ccc(CO)cc1
84082-84-8;68917-34-0;73246-97-6;62563-80-8,Acetylated Vetiver oil,"Vetiveria zizanioides, extract, acetylated Oils, vetiver, acetylated Acetic acid, esters with vetiver oil alcohols Vetiverol, acetate Vetivert acetate (commercial name) Vetivert acetate (Haiti) (commercial name) Vetyveryl acetate (commercial name)",0.9,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Acetylated Vetiver oil.pdf,CC1CC(OC(C)=O)C=C(C)C2CC(CC12)=C(C)C
122-40-7;68527-78-6,α-Amyl cinnamic aldehyde,"Amyl cinnamal Amyl cinnamic aldehyde α-Amylcinnamaldehyde α-Amyl ß-phenylacrolein Heptanal, 2-(phenylmethylene) α-Pentylcinnamaldehyde α-Pentyl-ß-phenylacrolein 2-(Phenylmethylene)heptanal Flomine (commercial name)",7.0,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/α-Amyl cinnamic aldehyde.pdf,CCCCC/C(C=O)=C/c1ccccc1
